Zone,Times,InCount,OutCount
Dublin BID,30/12/2013 00:00:00,181,352
Dublin BID,30/12/2013 01:00:00,46,123
Dublin BID,30/12/2013 02:00:00,22,47
Dublin BID,30/12/2013 03:00:00,5,35
Dublin BID,30/12/2013 04:00:00,7,26
Dublin BID,30/12/2013 05:00:00,41,15
Dublin BID,30/12/2013 06:00:00,216,62
Dublin BID,30/12/2013 07:00:00,614,227
Dublin BID,30/12/2013 08:00:00,1244,527
Dublin BID,30/12/2013 09:00:00,1194,699
Dublin BID,30/12/2013 10:00:00,1401,956
Dublin BID,30/12/2013 11:00:00,1471,1067
Dublin BID,30/12/2013 12:00:00,1845,1252
Dublin BID,30/12/2013 13:00:00,2195,1546
Dublin BID,30/12/2013 14:00:00,2068,1440
Dublin BID,30/12/2013 15:00:00,2089,1394
Dublin BID,30/12/2013 16:00:00,2059,1310
Dublin BID,30/12/2013 17:00:00,2098,1395
Dublin BID,30/12/2013 18:00:00,1890,1135
Dublin BID,30/12/2013 19:00:00,1297,842
Dublin BID,30/12/2013 20:00:00,789,631
Dublin BID,30/12/2013 21:00:00,651,510
Dublin BID,30/12/2013 22:00:00,628,411
Dublin BID,30/12/2013 23:00:00,324,320
South King St,30/12/2013 00:00:00,81,84
South King St,30/12/2013 01:00:00,60,50
South King St,30/12/2013 02:00:00,36,56
South King St,30/12/2013 03:00:00,39,27
South King St,30/12/2013 04:00:00,12,22
South King St,30/12/2013 05:00:00,28,26
South King St,30/12/2013 06:00:00,99,47
South King St,30/12/2013 07:00:00,197,116
South King St,30/12/2013 08:00:00,281,206
South King St,30/12/2013 09:00:00,242,230
South King St,30/12/2013 10:00:00,374,333
South King St,30/12/2013 11:00:00,677,589
South King St,30/12/2013 12:00:00,1000,961
South King St,30/12/2013 13:00:00,1549,1354
South King St,30/12/2013 14:00:00,1426,1358
South King St,30/12/2013 15:00:00,1549,1520
South King St,30/12/2013 16:00:00,1589,1862
South King St,30/12/2013 17:00:00,1317,1583
South King St,30/12/2013 18:00:00,1133,1058
South King St,30/12/2013 19:00:00,468,597
South King St,30/12/2013 20:00:00,316,517
South King St,30/12/2013 21:00:00,242,659
South King St,30/12/2013 22:00:00,192,217
South King St,30/12/2013 23:00:00,217,190
South Great Georges,30/12/2013 00:00:00,81,84
South Great Georges,30/12/2013 01:00:00,60,50
South Great Georges,30/12/2013 02:00:00,36,56
South Great Georges,30/12/2013 03:00:00,39,27
South Great Georges,30/12/2013 04:00:00,12,22
South Great Georges,30/12/2013 05:00:00,28,26
South Great Georges,30/12/2013 06:00:00,99,47
South Great Georges,30/12/2013 07:00:00,197,116
South Great Georges,30/12/2013 08:00:00,281,206
South Great Georges,30/12/2013 09:00:00,242,230
South Great Georges,30/12/2013 10:00:00,374,333
South Great Georges,30/12/2013 11:00:00,677,589
South Great Georges,30/12/2013 12:00:00,1000,961
South Great Georges,30/12/2013 13:00:00,1549,1354
South Great Georges,30/12/2013 14:00:00,1426,1358
South Great Georges,30/12/2013 15:00:00,1549,1520
South Great Georges,30/12/2013 16:00:00,1589,1862
South Great Georges,30/12/2013 17:00:00,1317,1583
South Great Georges,30/12/2013 18:00:00,1133,1058
South Great Georges,30/12/2013 19:00:00,468,597
South Great Georges,30/12/2013 20:00:00,316,517
South Great Georges,30/12/2013 21:00:00,242,659
South Great Georges,30/12/2013 22:00:00,192,217
South Great Georges,30/12/2013 23:00:00,217,190
Talbot St,30/12/2013 00:00:00,37,55
Talbot St,30/12/2013 01:00:00,20,71
Talbot St,30/12/2013 02:00:00,13,50
Talbot St,30/12/2013 03:00:00,5,30
Talbot St,30/12/2013 04:00:00,5,21
Talbot St,30/12/2013 05:00:00,11,17
Talbot St,30/12/2013 06:00:00,52,24
Talbot St,30/12/2013 07:00:00,174,110
Talbot St,30/12/2013 08:00:00,380,299
Talbot St,30/12/2013 09:00:00,257,170
Talbot St,30/12/2013 10:00:00,402,278
Talbot St,30/12/2013 11:00:00,455,405
Talbot St,30/12/2013 12:00:00,323,429
Talbot St,30/12/2013 13:00:00,427,644
Talbot St,30/12/2013 14:00:00,500,761
Talbot St,30/12/2013 15:00:00,503,884
Talbot St,30/12/2013 16:00:00,823,1263
Talbot St,30/12/2013 17:00:00,968,1397
Talbot St,30/12/2013 18:00:00,757,1301
Talbot St,30/12/2013 19:00:00,677,976
Talbot St,30/12/2013 20:00:00,483,579
Talbot St,30/12/2013 21:00:00,125,250
Talbot St,30/12/2013 22:00:00,115,228
Talbot St,30/12/2013 23:00:00,49,167
Mary St,30/12/2013 00:00:00,37,19
Mary St,30/12/2013 01:00:00,14,14
Mary St,30/12/2013 02:00:00,9,6
Mary St,30/12/2013 03:00:00,119,117
Mary St,30/12/2013 04:00:00,62,50
Mary St,30/12/2013 05:00:00,44,24
Mary St,30/12/2013 06:00:00,51,64
Mary St,30/12/2013 07:00:00,143,91
Mary St,30/12/2013 08:00:00,201,144
Mary St,30/12/2013 09:00:00,375,282
Mary St,30/12/2013 10:00:00,783,610
Mary St,30/12/2013 11:00:00,1376,1248
Mary St,30/12/2013 12:00:00,1893,1754
Mary St,30/12/2013 13:00:00,2490,2213
Mary St,30/12/2013 14:00:00,2545,2376
Mary St,30/12/2013 15:00:00,2642,2563
Mary St,30/12/2013 16:00:00,2472,2289
Mary St,30/12/2013 17:00:00,2441,2412
Mary St,30/12/2013 18:00:00,1834,1581
Mary St,30/12/2013 19:00:00,723,681
Mary St,30/12/2013 20:00:00,258,239
Mary St,30/12/2013 21:00:00,159,163
Mary St,30/12/2013 22:00:00,87,113
Mary St,30/12/2013 23:00:00,47,44
Moore St,30/12/2013 00:00:00,18,18
Moore St,30/12/2013 01:00:00,9,14
Moore St,30/12/2013 02:00:00,23,16
Moore St,30/12/2013 03:00:00,12,20
Moore St,30/12/2013 04:00:00,27,14
Moore St,30/12/2013 05:00:00,141,35
Moore St,30/12/2013 06:00:00,181,47
Moore St,30/12/2013 07:00:00,197,96
Moore St,30/12/2013 08:00:00,202,114
Moore St,30/12/2013 09:00:00,362,230
Moore St,30/12/2013 10:00:00,586,610
Moore St,30/12/2013 11:00:00,925,938
Moore St,30/12/2013 12:00:00,1135,1307
Moore St,30/12/2013 13:00:00,1415,1582
Moore St,30/12/2013 14:00:00,1385,1579
Moore St,30/12/2013 15:00:00,1788,1948
Moore St,30/12/2013 16:00:00,1685,1932
Moore St,30/12/2013 17:00:00,1448,1726
Moore St,30/12/2013 18:00:00,935,1323
Moore St,30/12/2013 19:00:00,715,961
Moore St,30/12/2013 20:00:00,403,391
Moore St,30/12/2013 21:00:00,146,146
Moore St,30/12/2013 22:00:00,107,97
Moore St,30/12/2013 23:00:00,64,75
Capel St at Mullen,30/12/2013 00:00:00,40,24
Capel St at Mullen,30/12/2013 01:00:00,12,15
Capel St at Mullen,30/12/2013 02:00:00,5,30
Capel St at Mullen,30/12/2013 03:00:00,1,16
Capel St at Mullen,30/12/2013 04:00:00,1,8
Capel St at Mullen,30/12/2013 05:00:00,4,3
Capel St at Mullen,30/12/2013 06:00:00,24,13
Capel St at Mullen,30/12/2013 07:00:00,22,32
Capel St at Mullen,30/12/2013 08:00:00,46,34
Capel St at Mullen,30/12/2013 09:00:00,84,80
Capel St at Mullen,30/12/2013 10:00:00,145,166
Capel St at Mullen,30/12/2013 11:00:00,272,234
Capel St at Mullen,30/12/2013 12:00:00,364,392
Capel St at Mullen,30/12/2013 13:00:00,498,478
Capel St at Mullen,30/12/2013 14:00:00,512,436
Capel St at Mullen,30/12/2013 15:00:00,541,494
Capel St at Mullen,30/12/2013 16:00:00,443,430
Capel St at Mullen,30/12/2013 17:00:00,411,370
Capel St at Mullen,30/12/2013 18:00:00,346,255
Capel St at Mullen,30/12/2013 19:00:00,239,212
Capel St at Mullen,30/12/2013 20:00:00,137,134
Capel St at Mullen,30/12/2013 21:00:00,105,86
Capel St at Mullen,30/12/2013 22:00:00,52,63
Capel St at Mullen,30/12/2013 23:00:00,48,25
Dame Court,30/12/2013 00:00:00,108,181
Dame Court,30/12/2013 01:00:00,135,167
Dame Court,30/12/2013 02:00:00,146,185
Dame Court,30/12/2013 03:00:00,171,110
Dame Court,30/12/2013 04:00:00,87,92
Dame Court,30/12/2013 05:00:00,165,127
Dame Court,30/12/2013 06:00:00,130,114
Dame Court,30/12/2013 07:00:00,71,64
Dame Court,30/12/2013 08:00:00,70,59
Dame Court,30/12/2013 09:00:00,84,68
Dame Court,30/12/2013 10:00:00,59,55
Dame Court,30/12/2013 11:00:00,91,104
Dame Court,30/12/2013 12:00:00,210,263
Dame Court,30/12/2013 13:00:00,137,168
Dame Court,30/12/2013 14:00:00,174,247
