Zone,Times,InCount,OutCount,Type
Dublin BID,30/12/2013 00:00:00,181,352,Actual
Dublin BID,30/12/2013 01:00:00,46,123,Actual
Dublin BID,30/12/2013 02:00:00,22,47,Actual
Dublin BID,30/12/2013 03:00:00,5,35,Actual
Dublin BID,30/12/2013 04:00:00,7,26,Actual
Dublin BID,30/12/2013 05:00:00,41,15,Actual
Dublin BID,30/12/2013 06:00:00,216,62,Actual
Dublin BID,30/12/2013 07:00:00,614,227,Actual
Dublin BID,30/12/2013 08:00:00,1244,527,Actual
Dublin BID,30/12/2013 09:00:00,1194,699,Actual
Dublin BID,30/12/2013 10:00:00,1401,956,Actual
Dublin BID,30/12/2013 11:00:00,1471,1067,Actual
Dublin BID,30/12/2013 12:00:00,1845,1252,Actual
Dublin BID,30/12/2013 13:00:00,2195,1546,Actual
Dublin BID,30/12/2013 14:00:00,2068,1440,Actual
Dublin BID,30/12/2013 15:00:00,2089,1394,Actual
Dublin BID,30/12/2013 16:00:00,2059,1310,Actual
Dublin BID,30/12/2013 17:00:00,2098,1395,Actual
Dublin BID,30/12/2013 18:00:00,1890,1135,Actual
Dublin BID,30/12/2013 19:00:00,1297,842,Actual
Dublin BID,30/12/2013 20:00:00,789,631,Actual
Dublin BID,30/12/2013 21:00:00,651,510,Actual
Dublin BID,30/12/2013 22:00:00,628,411,Actual
Dublin BID,30/12/2013 23:00:00,324,320,Actual
South King St,30/12/2013 00:00:00,81,84,Actual
South King St,30/12/2013 01:00:00,60,50,Actual
South King St,30/12/2013 02:00:00,36,56,Actual
South King St,30/12/2013 03:00:00,39,27,Actual
South King St,30/12/2013 04:00:00,12,22,Actual
South King St,30/12/2013 05:00:00,28,26,Actual
South King St,30/12/2013 06:00:00,99,47,Actual
South King St,30/12/2013 07:00:00,197,116,Actual
South King St,30/12/2013 08:00:00,281,206,Actual
South King St,30/12/2013 09:00:00,242,230,Actual
South King St,30/12/2013 10:00:00,374,333,Actual
South King St,30/12/2013 11:00:00,677,589,Actual
South King St,30/12/2013 12:00:00,1000,961,Actual
South King St,30/12/2013 13:00:00,1549,1354,Actual
South King St,30/12/2013 14:00:00,1426,1358,Actual
South King St,30/12/2013 15:00:00,1549,1520,Actual
South King St,30/12/2013 16:00:00,1589,1862,Actual
South King St,30/12/2013 17:00:00,1317,1583,Actual
South King St,30/12/2013 18:00:00,1133,1058,Actual
South King St,30/12/2013 19:00:00,468,597,Actual
South King St,30/12/2013 20:00:00,316,517,Actual
South King St,30/12/2013 21:00:00,242,659,Actual
South King St,30/12/2013 22:00:00,192,217,Actual
South King St,30/12/2013 23:00:00,217,190,Actual
South Great Georges,30/12/2013 00:00:00,81,84,Actual
South Great Georges,30/12/2013 01:00:00,60,50,Actual
South Great Georges,30/12/2013 02:00:00,36,56,Actual
South Great Georges,30/12/2013 03:00:00,39,27,Actual
South Great Georges,30/12/2013 04:00:00,12,22,Actual
South Great Georges,30/12/2013 05:00:00,28,26,Actual
South Great Georges,30/12/2013 06:00:00,99,47,Actual
South Great Georges,30/12/2013 07:00:00,197,116,Actual
South Great Georges,30/12/2013 08:00:00,281,206,Actual
South Great Georges,30/12/2013 09:00:00,242,230,Actual
South Great Georges,30/12/2013 10:00:00,374,333,Actual
South Great Georges,30/12/2013 11:00:00,677,589,Actual
South Great Georges,30/12/2013 12:00:00,1000,961,Actual
South Great Georges,30/12/2013 13:00:00,1549,1354,Actual
South Great Georges,30/12/2013 14:00:00,1426,1358,Actual
South Great Georges,30/12/2013 15:00:00,1549,1520,Actual
South Great Georges,30/12/2013 16:00:00,1589,1862,Actual
South Great Georges,30/12/2013 17:00:00,1317,1583,Actual
South Great Georges,30/12/2013 18:00:00,1133,1058,Actual
South Great Georges,30/12/2013 19:00:00,468,597,Actual
South Great Georges,30/12/2013 20:00:00,316,517,Actual
South Great Georges,30/12/2013 21:00:00,242,659,Actual
South Great Georges,30/12/2013 22:00:00,192,217,Actual
South Great Georges,30/12/2013 23:00:00,217,190,Actual
Talbot St,30/12/2013 00:00:00,37,55,Actual
Talbot St,30/12/2013 01:00:00,20,71,Actual
Talbot St,30/12/2013 02:00:00,13,50,Actual
Talbot St,30/12/2013 03:00:00,5,30,Actual
Talbot St,30/12/2013 04:00:00,5,21,Actual
Talbot St,30/12/2013 05:00:00,11,17,Actual
Talbot St,30/12/2013 06:00:00,52,24,Actual
Talbot St,30/12/2013 07:00:00,174,110,Actual
Talbot St,30/12/2013 08:00:00,380,299,Actual
Talbot St,30/12/2013 09:00:00,257,170,Actual
Talbot St,30/12/2013 10:00:00,402,278,Actual
Talbot St,30/12/2013 11:00:00,455,405,Actual
Talbot St,30/12/2013 12:00:00,323,429,Actual
Talbot St,30/12/2013 13:00:00,427,644,Actual
Talbot St,30/12/2013 14:00:00,500,761,Actual
Talbot St,30/12/2013 15:00:00,503,884,Actual
Talbot St,30/12/2013 16:00:00,823,1263,Actual
Talbot St,30/12/2013 17:00:00,968,1397,Actual
Talbot St,30/12/2013 18:00:00,757,1301,Actual
Talbot St,30/12/2013 19:00:00,677,976,Actual
Talbot St,30/12/2013 20:00:00,483,579,Actual
Talbot St,30/12/2013 21:00:00,125,250,Actual
Talbot St,30/12/2013 22:00:00,115,228,Actual
Talbot St,30/12/2013 23:00:00,49,167,Actual
Mary St,30/12/2013 00:00:00,37,19,Actual
Mary St,30/12/2013 01:00:00,14,14,Actual
Mary St,30/12/2013 02:00:00,9,6,Actual
Mary St,30/12/2013 03:00:00,119,117,Actual
Mary St,30/12/2013 04:00:00,62,50,Actual
Mary St,30/12/2013 05:00:00,44,24,Actual
Mary St,30/12/2013 06:00:00,51,64,Actual
Mary St,30/12/2013 07:00:00,143,91,Actual
Mary St,30/12/2013 08:00:00,201,144,Actual
Mary St,30/12/2013 09:00:00,375,282,Actual
Mary St,30/12/2013 10:00:00,783,610,Actual
Mary St,30/12/2013 11:00:00,1376,1248,Actual
Mary St,30/12/2013 12:00:00,1893,1754,Actual
Mary St,30/12/2013 13:00:00,2490,2213,Actual
Mary St,30/12/2013 14:00:00,2545,2376,Actual
Mary St,30/12/2013 15:00:00,2642,2563,Actual
Mary St,30/12/2013 16:00:00,2472,2289,Actual
Mary St,30/12/2013 17:00:00,2441,2412,Actual
Mary St,30/12/2013 18:00:00,1834,1581,Actual
Mary St,30/12/2013 19:00:00,723,681,Actual
Mary St,30/12/2013 20:00:00,258,239,Actual
